orb_time,rr,sl_mode,filter_set,trades,wins,losses,wr,total_r,avg_r
2300,2.0,HALF,BASELINE,495,266,229,53.73737373737374,303.0,0.6121212121212121
2300,2.0,HALF,MAX_STOP_100,474,251,223,52.95358649789029,279.0,0.5886075949367089
2300,2.0,HALF,MAX_STOP_100_TP_CAP_150,474,251,223,52.95358649789029,279.0,0.5886075949367089
2300,2.0,FULL,BASELINE,433,243,190,56.12009237875289,296.0,0.6836027713625866
2300,2.0,FULL,MAX_STOP_100,420,233,187,55.47619047619048,279.0,0.6642857142857143
2300,2.0,FULL,MAX_STOP_100_TP_CAP_150,420,233,187,55.47619047619048,279.0,0.6642857142857143
2300,2.5,HALF,BASELINE,490,239,251,48.775510204081634,346.5,0.7071428571428572
2300,2.5,HALF,MAX_STOP_100,470,225,245,47.87234042553192,317.5,0.675531914893617
2300,2.5,HALF,MAX_STOP_100_TP_CAP_150,470,225,245,47.87234042553192,317.5,0.675531914893617
2300,2.5,FULL,BASELINE,417,205,212,49.16067146282973,300.5,0.7206235011990407
2300,2.5,FULL,MAX_STOP_100,404,196,208,48.51485148514851,282.0,0.698019801980198
2300,2.5,FULL,MAX_STOP_100_TP_CAP_150,404,196,208,48.51485148514851,282.0,0.698019801980198
2300,3.0,HALF,BASELINE,483,221,262,45.75569358178054,401.0,0.8302277432712215
2300,3.0,HALF,MAX_STOP_100,466,210,256,45.06437768240343,374.0,0.8025751072961373
2300,3.0,HALF,MAX_STOP_100_TP_CAP_150,466,210,256,45.06437768240343,374.0,0.8025751072961373
2300,3.0,FULL,BASELINE,397,165,232,41.56171284634761,263.0,0.6624685138539043
2300,3.0,FULL,MAX_STOP_100,384,156,228,40.625,240.0,0.625
2300,3.0,FULL,MAX_STOP_100_TP_CAP_150,384,156,228,40.625,240.0,0.625
2300,3.5,HALF,BASELINE,481,209,272,43.45114345114345,459.5,0.9553014553014553
2300,3.5,HALF,MAX_STOP_100,464,199,265,42.887931034482754,431.5,0.9299568965517241
2300,3.5,HALF,MAX_STOP_100_TP_CAP_150,464,199,265,42.887931034482754,431.5,0.9299568965517241
2300,3.5,FULL,BASELINE,390,151,239,38.71794871794872,289.5,0.7423076923076923
2300,3.5,FULL,MAX_STOP_100,377,144,233,38.196286472148536,271.0,0.7188328912466844
2300,3.5,FULL,MAX_STOP_100_TP_CAP_150,377,144,233,38.196286472148536,271.0,0.7188328912466844
2300,4.0,HALF,BASELINE,479,199,280,41.544885177453025,516.0,1.0772442588726514
2300,4.0,HALF,MAX_STOP_100,462,189,273,40.909090909090914,483.0,1.0454545454545454
2300,4.0,HALF,MAX_STOP_100_TP_CAP_150,462,189,273,40.909090909090914,483.0,1.0454545454545454
2300,4.0,FULL,BASELINE,386,137,249,35.49222797927461,299.0,0.7746113989637305
2300,4.0,FULL,MAX_STOP_100,373,131,242,35.120643431635386,282.0,0.7560321715817694
2300,4.0,FULL,MAX_STOP_100_TP_CAP_150,373,131,242,35.120643431635386,282.0,0.7560321715817694
0030,1.0,HALF,BASELINE,430,287,143,66.74418604651163,144.0,0.33488372093023255
0030,1.0,HALF,MAX_STOP_100,398,264,134,66.33165829145729,130.0,0.32663316582914576
0030,1.0,HALF,MAX_STOP_100_TP_CAP_150,398,264,134,66.33165829145729,130.0,0.32663316582914576
0030,1.0,FULL,BASELINE,423,310,113,73.28605200945626,197.0,0.4657210401891253
0030,1.0,FULL,MAX_STOP_100,392,290,102,73.9795918367347,188.0,0.47959183673469385
0030,1.0,FULL,MAX_STOP_100_TP_CAP_150,392,290,102,73.9795918367347,188.0,0.47959183673469385
0030,1.5,HALF,BASELINE,429,272,157,63.4032634032634,251.0,0.585081585081585
0030,1.5,HALF,MAX_STOP_100,398,253,145,63.5678391959799,234.5,0.5891959798994975
0030,1.5,HALF,MAX_STOP_100_TP_CAP_150,398,253,145,63.5678391959799,234.5,0.5891959798994975
0030,1.5,FULL,BASELINE,420,279,141,66.42857142857143,277.5,0.6607142857142857
0030,1.5,FULL,MAX_STOP_100,389,260,129,66.83804627249359,261.0,0.6709511568123393
0030,1.5,FULL,MAX_STOP_100_TP_CAP_150,389,260,129,66.83804627249359,261.0,0.6709511568123393
0030,2.0,HALF,BASELINE,428,256,172,59.813084112149525,340.0,0.794392523364486
0030,2.0,HALF,MAX_STOP_100,397,238,159,59.949622166246854,317.0,0.7984886649874056
0030,2.0,HALF,MAX_STOP_100_TP_CAP_150,397,238,159,59.949622166246854,317.0,0.7984886649874056
0030,2.0,FULL,BASELINE,415,251,164,60.48192771084337,338.0,0.8144578313253013
0030,2.0,FULL,MAX_STOP_100,385,236,149,61.298701298701296,323.0,0.8389610389610389
0030,2.0,FULL,MAX_STOP_100_TP_CAP_150,385,236,149,61.298701298701296,323.0,0.8389610389610389
0030,2.5,HALF,BASELINE,428,245,183,57.242990654205606,429.5,1.0035046728971964
0030,2.5,HALF,MAX_STOP_100,397,228,169,57.43073047858942,401.0,1.0100755667506298
0030,2.5,HALF,MAX_STOP_100_TP_CAP_150,397,228,169,57.43073047858942,401.0,1.0100755667506298
0030,2.5,FULL,BASELINE,412,231,181,56.067961165048544,396.5,0.962378640776699
0030,2.5,FULL,MAX_STOP_100,382,217,165,56.80628272251309,377.5,0.9882198952879581
0030,2.5,FULL,MAX_STOP_100_TP_CAP_150,382,217,165,56.80628272251309,377.5,0.9882198952879581
0030,3.0,HALF,BASELINE,426,234,192,54.929577464788736,510.0,1.1971830985915493
0030,3.0,HALF,MAX_STOP_100,395,217,178,54.936708860759495,473.0,1.1974683544303797
0030,3.0,HALF,MAX_STOP_100_TP_CAP_150,395,217,178,54.936708860759495,473.0,1.1974683544303797
0030,3.0,FULL,BASELINE,411,216,195,52.55474452554745,453.0,1.102189781021898
0030,3.0,FULL,MAX_STOP_100,381,203,178,53.28083989501312,431.0,1.1312335958005248
0030,3.0,FULL,MAX_STOP_100_TP_CAP_150,381,203,178,53.28083989501312,431.0,1.1312335958005248
0030,3.5,HALF,BASELINE,425,228,197,53.64705882352941,601.0,1.4141176470588235
0030,3.5,HALF,MAX_STOP_100,394,211,183,53.55329949238579,555.5,1.4098984771573604
0030,3.5,HALF,MAX_STOP_100_TP_CAP_150,394,211,183,53.55329949238579,555.5,1.4098984771573604
0030,3.5,FULL,BASELINE,408,198,210,48.529411764705884,483.0,1.1838235294117647
0030,3.5,FULL,MAX_STOP_100,378,187,191,49.47089947089947,463.5,1.2261904761904763
0030,3.5,FULL,MAX_STOP_100_TP_CAP_150,378,187,191,49.47089947089947,463.5,1.2261904761904763
0030,4.0,HALF,BASELINE,425,216,209,50.8235294117647,655.0,1.5411764705882354
0030,4.0,HALF,MAX_STOP_100,394,203,191,51.52284263959391,621.0,1.5761421319796953
0030,4.0,HALF,MAX_STOP_100_TP_CAP_150,394,203,191,51.52284263959391,621.0,1.5761421319796953
0030,4.0,FULL,BASELINE,401,177,224,44.13965087281795,484.0,1.2069825436408979
0030,4.0,FULL,MAX_STOP_100,372,168,204,45.16129032258064,468.0,1.2580645161290323
0030,4.0,FULL,MAX_STOP_100_TP_CAP_150,372,168,204,45.16129032258064,468.0,1.2580645161290323
