config,filter_name,rr,sl_mode,trades,wins,losses,wr,total_r,avg_r,expectancy
ASIA_NORMAL_SMALL_ORB_RR3.0_SLHALF,ASIA_NORMAL_SMALL_ORB,3.0,HALF,98,27,71,27.55102040816326,10.0,0.10204081632653061,0.10204081632653039
ALL_FILTERS_RR4.0_SLHALF,ALL_FILTERS,4.0,HALF,32,8,24,25.0,8.0,0.25,0.25
SMALL_ORB_RR1.5_SLHALF,SMALL_ORB,1.5,HALF,175,73,102,41.714285714285715,7.5,0.04285714285714286,0.042857142857142816
ASIA_NORMAL_SMALL_ORB_RR2.5_SLHALF,ASIA_NORMAL_SMALL_ORB,2.5,HALF,98,30,68,30.612244897959183,7.0,0.07142857142857142,0.07142857142857151
ALL_FILTERS_RR3.5_SLHALF,ALL_FILTERS,3.5,HALF,32,8,24,25.0,4.0,0.125,0.125
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR2.0_SLHALF,ASIA_NORMAL_NY_HIGH_SKIP_LOW,2.0,HALF,68,24,44,35.294117647058826,4.0,0.058823529411764705,0.05882352941176483
ASIA_NORMAL_NY_HIGH_RR2.0_SLHALF,ASIA_NORMAL_NY_HIGH,2.0,HALF,150,50,100,33.33333333333333,0.0,0.0,-2.220446049250313e-16
ASIA_NORMAL_NY_HIGH_RR1.5_SLHALF,ASIA_NORMAL_NY_HIGH,1.5,HALF,150,60,90,40.0,0.0,0.0,1.1102230246251565e-16
ALL_FILTERS_RR3.0_SLHALF,ALL_FILTERS,3.0,HALF,32,8,24,25.0,0.0,0.0,0.0
ASIA_NORMAL_NY_HIGH_RR1.0_SLHALF,ASIA_NORMAL_NY_HIGH,1.0,HALF,150,74,76,49.333333333333336,-2.0,-0.013333333333333334,-0.013333333333333253
ASIA_NORMAL_SMALL_ORB_RR2.0_SLHALF,ASIA_NORMAL_SMALL_ORB,2.0,HALF,98,32,66,32.6530612244898,-2.0,-0.02040816326530612,-0.020408163265306145
ALL_FILTERS_RR2.5_SLHALF,ALL_FILTERS,2.5,HALF,32,8,24,25.0,-4.0,-0.125,-0.125
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR1.0_SLHALF,ASIA_NORMAL_NY_HIGH_SKIP_LOW,1.0,HALF,68,32,36,47.05882352941176,-4.0,-0.058823529411764705,-0.058823529411764774
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR1.5_SLHALF,ASIA_NORMAL_NY_HIGH_SKIP_LOW,1.5,HALF,68,25,43,36.76470588235294,-5.5,-0.08088235294117647,-0.0808823529411764
ALL_FILTERS_RR2.0_SLHALF,ALL_FILTERS,2.0,HALF,32,8,24,25.0,-8.0,-0.25,-0.25
ALL_FILTERS_RR1.0_SLHALF,ALL_FILTERS,1.0,HALF,32,11,21,34.375,-10.0,-0.3125,-0.3125
ASIA_NORMAL_SMALL_ORB_RR1.5_SLHALF,ASIA_NORMAL_SMALL_ORB,1.5,HALF,98,35,63,35.714285714285715,-10.5,-0.10714285714285714,-0.1071428571428571
ALL_FILTERS_RR1.5_SLHALF,ALL_FILTERS,1.5,HALF,32,8,24,25.0,-12.0,-0.375,-0.375
SMALL_ORB_RR1.0_SLHALF,SMALL_ORB,1.0,HALF,175,80,95,45.714285714285715,-15.0,-0.08571428571428572,-0.08571428571428569
ASIA_NORMAL_SMALL_ORB_RR1.0_SLHALF,ASIA_NORMAL_SMALL_ORB,1.0,HALF,98,40,58,40.816326530612244,-18.0,-0.1836734693877551,-0.18367346938775508
